Total_Gross_Sales,Tickets_Sold,Reporting_Year,Reporting_Week
3114.99,249,2023,27
300.24,24,2023,25
12101.75,1090,2023,35
4628.7,370,2023,28
89057.66,5654,2023,36
12059.64,964,2023,30
4234.03,609,2023,31
3076.1,382,2023,33
2201.35,228,2023,32
3890.7,425,2023,34
2376.9,190,2023,29
312.75,25,2023,24
7318.35,585,2023,26
1020,102,2022,26
4265,319,2022,33
3825,309,2022,32
1185,103,2022,31
100,10,2022,23
18755,1911,2022,35
2130,213,2022,27
1380,138,2022,25
7235,612,2022,34
2170,217,2022,28
7360,736,2022,30
96785,6675,2022,36
3810,381,2022,29
6340,634,2022,24
2346.57,153,2024,29
3893.7,324,2024,32
2817.69,703,2024,31
2637.81,175,2024,30
439.38,30,2024,28
